代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,跟踪误差,超额收益,管理规模
006196,华夏中证央企ET,荣膺,华夏,3.78亿元,92.0,30,79.0,78.0,3,5,5,5,-5.48%,不佳,2.88%,不佳,18.13%,一般,4.38%,优秀,-0.83%,优秀,31.37%,优秀,75.0,80.0,80.0,80.0,80.0
160615,鹏华沪深300E,苏俊杰,鹏华,19.23亿元,76.0,48,78.0,74.39999999999999,3,5,5,3,-3.76%,一般,10.11%,一般,18.42%,一般,-5.68%,良好,-15.11%,良好,16.48%,良好,80.0,80.0,75.0,70.0,85.0
166802,浙商沪深300指,胡羿,浙商,2.26亿元,76.0,76,80.0,78.39999999999999,3,5,5,3,-2.91%,良好,11.99%,一般,22.34%,良好,-3.06%,良好,-13.54%,良好,23.91%,良好,90.0,85.0,70.0,80.0,75.0
161120,易方达中债新综指,杨真,易方达,10.64亿元,84.00000000000001,100,74.0,79.6,3,3,5,5,2.64%,优秀,3.02%,优秀,6.41%,优秀,11.53%,优秀,13.51%,优秀,22.13%,优秀,65.0,70.0,95.0,55.0,85.0
008238,中泰沪深300增,邹巍,中泰证券(上海)资管,1.87亿元,84.00000000000001,76,78.0,79.6,3,5,5,4,-3.35%,良好,11.58%,一般,20.78%,良好,-1.63%,良好,-9.32%,良好,---,,85.0,80.0,75.0,75.0,75.0
320014,诺安沪深300指,孔宪政,诺安,6.19亿元,84.00000000000001,78,80.0,81.0,3,5,5,4,-2.91%,良好,11.02%,一般,22.28%,良好,-1.10%,良好,-9.96%,良好,29.01%,优秀,90.0,80.0,70.0,80.0,80.0
003318,景顺长城中证50,曾理,景顺长城,9.35亿元,88.00000000000001,66,78.0,79.8,3,5,4,5,-0.45%,优秀,16.97%,良好,15.15%,一般,4.72%,优秀,-0.39%,优秀,44.35%,优秀,80.0,75.0,75.0,75.0,85.0
540012,汇丰晋信恒生龙头,刘禹良,汇丰晋信,2.91亿元,84.00000000000001,64,79.0,79.0,3,5,3,5,-5.08%,一般,7.50%,不佳,20.78%,良好,3.63%,优秀,-5.43%,优秀,19.18%,良好,80.0,85.0,75.0,75.0,80.0
163808,中银中证A100,赵建忠,中银,4.58亿元,76.0,64,79.0,76.60000000000001,3,5,5,3,-4.50%,一般,10.76%,一般,20.01%,良好,-4.97%,良好,-15.34%,良好,12.27%,一般,80.0,80.0,75.0,80.0,80.0
004513,海富通沪深300,朱斌全,海富通,9.09亿元,84.00000000000001,78,79.0,80.39999999999999,3,5,3,5,-2.32%,良好,12.04%,一般,25.16%,良好,0.25%,良好,-7.94%,优秀,26.78%,良好,85.0,85.0,65.0,80.0,80.0
202015,南方沪深300E,罗文杰,南方,26.66亿元,76.0,64,83.0,79.0,3,5,5,3,-3.73%,一般,10.70%,一般,19.69%,良好,-4.09%,良好,-13.61%,良好,10.99%,一般,85.0,80.0,80.0,80.0,90.0
161119,易方达中债新综指,杨真,易方达,70.60亿元,88.00000000000001,100,77.0,82.6,3,4,5,5,2.74%,优秀,3.17%,优秀,6.75%,优秀,12.30%,优秀,14.68%,优秀,24.25%,优秀,65.0,75.0,95.0,55.0,95.0
161039,富国中证1000,徐幼华,富国,9.91亿元,88.00000000000001,64,73.0,76.60000000000001,3,5,4,5,-0.14%,优秀,20.69%,良好,17.63%,一般,-3.50%,良好,-5.68%,优秀,51.33%,优秀,75.0,70.0,60.0,75.0,85.0
512960,博时央企结构调整,赵云阳,博时,54.04亿元,84.00000000000001,54,84.0,81.0,3,3,5,5,-5.72%,不佳,2.79%,不佳,18.93%,良好,5.07%,优秀,-0.47%,优秀,34.12%,优秀,75.0,80.0,85.0,85.0,95.0
006438,博时央调ETF联,赵云阳,博时,2.90亿元,88.00000000000001,30,78.0,76.2,3,4,5,5,-5.46%,不佳,2.36%,不佳,17.46%,一般,4.40%,优秀,-0.88%,优秀,31.35%,优秀,75.0,80.0,80.0,75.0,80.0
006197,华夏中证央企ET,荣膺,华夏,1.86亿元,84.00000000000001,30,78.0,75.0,3,3,5,5,-5.55%,不佳,2.72%,不佳,17.78%,一般,3.76%,优秀,-1.72%,优秀,29.41%,优秀,75.0,80.0,80.0,80.0,75.0
512950,华夏中证央企ET,荣膺,华夏,62.55亿元,88.00000000000001,54,85.0,82.80000000000001,3,4,5,5,-5.81%,不佳,2.87%,不佳,19.02%,良好,4.91%,优秀,-0.58%,优秀,33.72%,优秀,75.0,80.0,85.0,90.0,95.0
006439,博时央调ETF联,赵云阳,博时,0.18亿元,84.00000000000001,30,76.0,73.80000000000001,3,3,5,5,-5.55%,不佳,2.15%,不佳,16.99%,一般,3.56%,优秀,-2.07%,优秀,28.73%,优秀,75.0,80.0,80.0,75.0,70.0
006925,永赢中债1-3年,杨野,永赢,98.68亿元,84.00000000000001,64,85.0,82.60000000000001,3,3,5,5,1.58%,良好,2.01%,良好,4.61%,良好,8.02%,良好,10.06%,一般,17.30%,一般,75.0,70.0,85.0,100.0,95.0
007538,永赢沪深300E,刘庭宇,永赢,5.68亿元,76.0,72,80.0,78.0,3,5,5,3,-3.74%,一般,10.14%,一般,19.11%,良好,-3.30%,良好,-12.79%,良好,21.37%,良好,85.0,80.0,75.0,75.0,85.0
007275,银河沪深300指,罗博,银河,1.29亿元,84.00000000000001,78,79.0,80.39999999999999,3,5,5,4,-1.40%,良好,13.14%,一般,22.93%,良好,-0.75%,良好,-9.66%,良好,32.43%,优秀,85.0,85.0,70.0,80.0,75.0
007208,中邮中债1-3年,闫宜乘,中邮,2.08亿元,84.00000000000001,24,74.0,72.0,3,5,5,4,1.28%,一般,1.47%,一般,3.55%,一般,7.29%,一般,9.12%,一般,16.58%,一般,75.0,70.0,95.0,55.0,75.0
515110,易方达中证国企一,刘树荣,易方达,3.04亿元,84.00000000000001,66,84.0,82.19999999999999,3,3,5,5,-3.89%,一般,7.30%,不佳,22.62%,良好,6.26%,优秀,2.78%,优秀,37.87%,优秀,75.0,80.0,85.0,100.0,80.0
007180,华安中债1-3年,林唐宇,华安,83.69亿元,84.00000000000001,24,85.0,78.60000000000001,3,5,5,4,1.20%,一般,1.76%,一般,3.60%,一般,6.83%,一般,9.20%,一般,16.28%,一般,75.0,70.0,90.0,95.0,95.0
515150,富国中证国企一带,殷钦怡,富国,7.42亿元,84.00000000000001,66,82.0,81.0,3,3,5,5,-4.58%,一般,6.48%,不佳,21.14%,良好,3.36%,优秀,-1.41%,优秀,28.93%,优秀,75.0,80.0,85.0,90.0,80.0
007788,易方达中证国企带,刘树荣,易方达,0.43亿元,88.00000000000001,66,78.0,79.8,3,4,5,5,-3.73%,一般,7.13%,不佳,21.46%,良好,4.58%,优秀,1.54%,优秀,39.44%,优秀,75.0,80.0,80.0,85.0,70.0
007364,易方达中债1-3,杨真,易方达,17.78亿元,76.0,12,84.0,74.4,3,5,5,3,0.96%,不佳,1.42%,一般,3.49%,一般,6.55%,一般,8.84%,不佳,16.45%,一般,80.0,70.0,90.0,95.0,85.0
007994,华夏中证500指,孙蒙,华夏,38.40亿元,84.00000000000001,62,74.0,75.8,3,5,3,5,-1.82%,良好,15.14%,良好,15.79%,一般,3.84%,优秀,3.28%,优秀,---,,75.0,75.0,55.0,75.0,90.0
007786,富国中证国企一带,殷钦怡,富国,0.13亿元,88.00000000000001,62,74.0,77.0,3,4,5,5,-4.89%,一般,5.36%,不佳,19.23%,良好,3.00%,良好,-1.40%,优秀,28.22%,良好,75.0,80.0,75.0,75.0,65.0
007787,富国中证国企一带,殷钦怡,富国,0.05亿元,84.00000000000001,38,74.0,73.39999999999999,3,3,5,5,-5.00%,一般,5.15%,不佳,18.74%,一般,2.18%,良好,-2.58%,优秀,25.67%,良好,75.0,80.0,75.0,75.0,65.0
007789,易方达中证国企带,刘树荣,易方达,0.19亿元,84.00000000000001,66,78.0,78.6,3,3,5,5,-3.74%,一般,7.09%,不佳,21.34%,良好,4.38%,优秀,1.25%,优秀,38.58%,优秀,75.0,80.0,80.0,85.0,70.0
008340,华富中债-安徽信,张娅,华富,21.25亿元,84.00000000000001,54,88.0,83.4,3,5,5,4,1.22%,一般,1.29%,一般,3.85%,一般,10.30%,优秀,12.90%,优秀,---,,85.0,70.0,95.0,100.0,90.0
009087,太平中债1-3年,吴超,太平,0.00亿元,76.0,88,76.0,77.2,3,1,5,5,2.76%,优秀,3.10%,优秀,5.16%,良好,8.05%,良好,10.30%,良好,---,,75.0,70.0,75.0,80.0,80.0
010203,天弘中证科技10,刘笑明,天弘,1.69亿元,84.00000000000001,84,73.0,77.4,3,3,5,5,-0.21%,优秀,16.74%,良好,23.97%,良好,1.71%,良好,-9.85%,良好,---,,75.0,75.0,70.0,70.0,75.0
010202,天弘中证科技10,刘笑明,天弘,0.94亿元,84.00000000000001,84,73.0,77.4,3,3,5,5,-0.14%,优秀,16.91%,良好,24.34%,良好,2.31%,良好,-9.04%,良好,---,,75.0,75.0,70.0,70.0,75.0
009726,招商中证500等,王岩,招商,10.01亿元,84.00000000000001,87,76.0,79.50000000000001,3,5,3,5,0.08%,优秀,18.21%,良好,21.38%,良好,1.73%,良好,1.65%,优秀,---,,80.0,75.0,65.0,80.0,80.0
008583,西部利得中债1-,刘心峰,西部利得,78.95亿元,84.00000000000001,76,81.0,81.4,3,3,5,5,1.38%,一般,2.18%,良好,4.71%,良好,8.61%,良好,10.42%,良好,---,,65.0,70.0,80.0,95.0,95.0
008584,西部利得中债1-,刘心峰,西部利得,0.41亿元,84.00000000000001,64,76.0,77.20000000000002,3,3,5,5,1.36%,一般,2.12%,良好,4.59%,良好,8.38%,良好,10.08%,一般,---,,65.0,70.0,80.0,95.0,70.0
010673,兴全中证800六,申庆,兴证全球,10.98亿元,80.0,86,76.0,78.19999999999999,3,5,2,5,-2.26%,良好,14.72%,良好,19.80%,良好,5.74%,优秀,0.10%,优秀,---,,80.0,80.0,60.0,75.0,85.0
952003,国泰君安中债1-,刘明,国泰君安资管,11.30亿元,76.0,24,80.0,73.2,3,5,5,3,1.12%,一般,1.46%,一般,3.51%,一般,6.34%,不佳,8.33%,不佳,---,,65.0,70.0,90.0,90.0,85.0
004194,招商中证1000,蔡振,招商,9.75亿元,84.00000000000001,88,74.0,78.39999999999999,3,5,3,5,2.12%,优秀,23.23%,良好,19.79%,良好,-1.80%,良好,-1.53%,优秀,58.44%,优秀,75.0,70.0,65.0,80.0,80.0
213010,宝盈中证A100,蔡丹,宝盈,1.72亿元,76.0,72,79.0,77.4,3,5,5,3,-3.78%,一般,10.90%,一般,20.10%,良好,-3.84%,良好,-12.89%,良好,20.03%,良好,80.0,80.0,80.0,80.0,75.0
470007,汇添富上证综合指,吴振翔,汇添富,9.94亿元,64.0,56,78.0,71.6,3,2,1,5,-1.62%,良好,9.83%,一般,18.63%,一般,5.18%,优秀,-0.04%,优秀,25.42%,良好,80.0,80.0,70.0,75.0,85.0
165312,建信央视财经50,叶乐天,建信,3.58亿元,72.0,56,77.0,73.39999999999999,3,3,2,5,-2.18%,良好,11.45%,一般,18.35%,一般,4.30%,优秀,-1.73%,优秀,27.69%,良好,80.0,80.0,70.0,75.0,80.0
510130,中盘ETF,刘树荣,易方达,2.92亿元,80.0,88,85.0,83.8,3,3,4,5,-1.44%,良好,13.63%,一般,25.96%,优秀,6.55%,优秀,-1.60%,优秀,44.73%,优秀,85.0,85.0,85.0,90.0,80.0
110021,易方达上证中盘E,刘树荣,易方达,1.91亿元,84.00000000000001,82,81.0,82.00000000000001,3,4,4,5,-1.30%,良好,12.89%,一般,24.37%,良好,6.09%,优秀,-1.58%,优秀,41.62%,优秀,85.0,85.0,80.0,80.0,75.0
159936,广发中证全指可选,姚曦,广发,3.14亿元,72.0,96,86.0,82.80000000000001,3,2,3,5,1.28%,优秀,23.54%,良好,33.45%,优秀,10.64%,优秀,0.10%,优秀,36.30%,优秀,90.0,90.0,80.0,90.0,80.0
000656,前海开源沪深30,梁溥森,前海开源,5.90亿元,80.0,74,81.0,80.0,3,5,4,4,-3.47%,一般,11.94%,一般,21.04%,良好,-1.73%,良好,-9.88%,良好,33.71%,优秀,85.0,80.0,80.0,80.0,80.0
161028,富国中证新能源汽,牛志冬,富国,63.04亿元,72.0,40,77.0,71.8,3,3,2,5,-1.29%,良好,22.20%,良好,9.91%,不佳,-33.88%,不佳,-43.67%,不佳,26.75%,良好,80.0,65.0,75.0,70.0,95.0
161029,富国中证银行指数,王保合,富国,6.40亿元,68.0,96,86.0,81.6,3,2,2,5,3.91%,优秀,14.57%,良好,37.52%,优秀,31.60%,优秀,23.29%,优秀,46.87%,优秀,100.0,100.0,70.0,80.0,80.0
160517,博时中证银行指数,赵云阳,博时,5.20亿元,72.0,92,86.0,82.4,3,3,2,5,3.95%,优秀,13.67%,一般,36.98%,优秀,32.72%,优秀,25.00%,优秀,54.83%,优秀,100.0,100.0,70.0,80.0,80.0
165524,中信保诚中证智能,黄稚,中信保诚,0.41亿元,76.0,90,73.0,75.6,3,4,2,5,11.27%,优秀,41.25%,优秀,47.08%,优秀,26.88%,优秀,2.09%,优秀,7.82%,一般,75.0,85.0,75.0,60.0,70.0
001242,博时中证淘金大数,杨振建,博时,1.48亿元,72.0,78,76.0,75.0,3,3,2,5,2.85%,优秀,21.43%,良好,21.06%,良好,2.72%,良好,-4.96%,优秀,2.57%,不佳,75.0,75.0,75.0,80.0,75.0
001397,建信精工制造指数,叶乐天,建信,0.56亿元,72.0,70,69.0,70.0,3,3,2,5,-2.67%,良好,12.03%,一般,19.68%,良好,-9.32%,一般,-12.54%,良好,46.08%,优秀,75.0,75.0,55.0,70.0,70.0
001243,博时中证淘金大数,杨振建,博时,0.64亿元,72.0,78,75.0,74.39999999999999,3,3,2,5,2.85%,优秀,21.42%,良好,21.07%,良好,2.72%,良好,-4.96%,优秀,2.57%,不佳,75.0,75.0,75.0,80.0,70.0
002236,大成360互联网,夏高,大成,5.64亿元,64.0,94,66.0,68.2,3,2,1,5,9.13%,优秀,43.61%,优秀,24.87%,良好,33.86%,优秀,34.39%,优秀,110.57%,优秀,60.0,75.0,60.0,55.0,80.0
202017,南方深证成份ET,孙伟,南方,1.65亿元,80.0,52,76.0,74.8,3,4,5,4,-3.49%,一般,17.69%,良好,19.35%,良好,-12.23%,一般,-23.82%,一般,4.26%,不佳,80.0,75.0,75.0,75.0,75.0
161723,招商中证银行指数,侯昊,招商,8.96亿元,72.0,92,87.0,83.0,3,3,2,5,4.01%,优秀,14.09%,一般,37.24%,优秀,31.47%,优秀,23.21%,优秀,43.04%,优秀,100.0,100.0,70.0,80.0,85.0
040180,华安上证180E,许之彦,华安,1.71亿元,80.0,64,78.0,77.2,3,5,4,4,-3.86%,一般,9.09%,一般,19.58%,良好,-0.48%,良好,-8.86%,良好,7.59%,一般,85.0,80.0,75.0,75.0,75.0
003358,易方达中债7-1,杨真,易方达,48.13亿元,76.0,100,79.0,80.2,3,3,3,5,4.04%,优秀,4.55%,优秀,9.51%,优秀,15.76%,优秀,18.44%,优秀,31.05%,优秀,65.0,75.0,80.0,85.0,90.0
003016,中金中证500A,耿帅军,中金,4.50亿元,80.0,86,75.0,77.6,3,4,5,4,-0.82%,优秀,18.78%,良好,18.97%,良好,-3.72%,良好,-10.24%,良好,47.66%,优秀,80.0,75.0,65.0,75.0,80.0
003376,广发中债7-10,王予柯,广发,94.42亿元,76.0,100,83.0,82.6,3,3,3,5,4.92%,优秀,5.42%,优秀,10.90%,优秀,17.56%,优秀,20.94%,优秀,33.60%,优秀,65.0,75.0,90.0,85.0,100.0
004195,招商中证1000,蔡振,招商,6.04亿元,76.0,88,74.0,76.0,3,3,3,5,2.02%,优秀,22.98%,良好,19.32%,良好,-2.57%,良好,-2.69%,优秀,55.31%,优秀,75.0,70.0,65.0,80.0,80.0
510080,长盛全债指数增强,王贵君,长盛,30.36亿元,72.0,100,48.0,60.39999999999999,1,3,4,5,4.04%,优秀,5.49%,优秀,8.45%,优秀,14.08%,优秀,17.28%,优秀,43.19%,优秀,80.0,75.0,0.0,0.0,85.0
003359,大成360互联网,夏高,大成,7.40亿元,68.0,94,65.0,68.8,3,3,1,5,8.96%,优秀,43.17%,优秀,24.16%,良好,32.24%,优秀,32.01%,优秀,104.42%,优秀,60.0,70.0,60.0,55.0,80.0
673100,西部利得沪深30,盛丰衍,西部利得,4.81亿元,72.0,48,73.0,70.19999999999999,3,3,2,5,-3.44%,一般,8.98%,一般,17.11%,一般,-4.03%,良好,-14.97%,良好,25.36%,良好,80.0,80.0,55.0,70.0,80.0
501011,汇添富中证中药E,过蓓蓓,汇添富,7.29亿元,72.0,18,73.0,67.19999999999999,3,3,2,5,-7.09%,不佳,1.36%,不佳,-1.81%,不佳,-13.52%,一般,-11.89%,良好,32.12%,优秀,65.0,60.0,75.0,80.0,85.0
004743,易方达上证中盘E,刘树荣,易方达,0.72亿元,80.0,82,80.0,80.2,3,3,4,5,-1.36%,良好,12.75%,一般,24.07%,良好,5.57%,优秀,-2.31%,优秀,39.87%,优秀,85.0,85.0,80.0,75.0,75.0
512800,华宝中证银行ET,胡洁,华宝,74.88亿元,68.0,92,89.0,83.0,3,2,2,5,4.10%,优秀,14.18%,一般,38.65%,优秀,32.48%,优秀,23.18%,优秀,36.67%,优秀,100.0,100.0,70.0,80.0,95.0
003377,广发中债7-10,王予柯,广发,33.84亿元,76.0,100,79.0,80.2,3,3,3,5,4.83%,优秀,5.24%,优秀,10.52%,优秀,16.75%,优秀,19.70%,优秀,31.34%,优秀,60.0,75.0,90.0,80.0,90.0
004512,海富通沪深300,朱斌全,海富通,16.77亿元,76.0,78,80.0,78.6,3,3,3,5,-2.35%,良好,11.98%,一般,25.03%,良好,0.04%,良好,-8.22%,优秀,26.15%,良好,85.0,85.0,65.0,80.0,85.0
512700,南方中证银行ET,孙伟,南方,15.65亿元,68.0,92,87.0,81.8,3,2,2,5,4.12%,优秀,14.28%,一般,38.89%,优秀,32.70%,优秀,23.67%,优秀,45.13%,优秀,100.0,100.0,70.0,80.0,85.0
001133,广发中证全指可选,姚曦,广发,1.71亿元,76.0,96,82.0,81.6,3,3,3,5,1.19%,优秀,21.99%,良好,31.23%,优秀,9.84%,优秀,-0.56%,优秀,32.33%,优秀,90.0,90.0,75.0,80.0,75.0
005063,广发中证全指家用,陆志明,广发,2.66亿元,76.0,100,82.0,82.0,3,3,3,5,0.76%,优秀,28.31%,优秀,33.33%,优秀,22.31%,优秀,7.73%,优秀,37.67%,优秀,85.0,90.0,75.0,80.0,80.0
004874,融通巨潮100指,蔡志伟,融通,0.04亿元,76.0,48,77.0,73.8,3,3,3,5,-4.03%,一般,8.03%,一般,20.52%,良好,-5.98%,一般,-16.10%,一般,9.09%,一般,85.0,85.0,75.0,80.0,60.0
005051,摩根标普港股通低,胡迪,摩根,9.02亿元,60.0,78,51.0,56.39999999999999,3,1,1,5,-2.35%,良好,8.16%,一般,25.46%,优秀,14.21%,优秀,13.25%,优秀,5.08%,一般,90.0,85.0,0.0,0.0,80.0
501306,汇添富港股红利E,董瑾,汇添富,3.84亿元,68.0,62,77.0,72.8,3,3,1,5,-4.23%,一般,7.20%,不佳,25.76%,优秀,20.30%,优秀,15.35%,优秀,8.38%,一般,85.0,85.0,65.0,70.0,80.0
004854,广发中证全指汽车,陆志明,广发,11.53亿元,68.0,96,86.0,81.6,3,2,2,5,5.77%,优秀,19.58%,良好,44.87%,优秀,33.60%,优秀,21.21%,优秀,117.28%,优秀,100.0,100.0,75.0,70.0,85.0
005064,广发中证全指家用,陆志明,广发,1.73亿元,76.0,100,82.0,82.0,3,3,3,5,0.71%,优秀,28.18%,优秀,33.07%,优秀,21.82%,优秀,7.09%,优秀,36.30%,优秀,85.0,90.0,75.0,80.0,80.0
004788,富荣沪深300指,郎骋成,富荣,7.84亿元,72.0,30,76.0,70.2,3,2,3,5,-6.13%,不佳,8.58%,一般,16.65%,一般,-9.47%,一般,-15.35%,良好,70.81%,优秀,85.0,80.0,65.0,70.0,80.0
501025,鹏华香港银行指数,张羽翔,鹏华,2.62亿元,60.0,90,82.0,76.19999999999999,3,1,1,5,5.40%,优秀,14.23%,一般,41.44%,优秀,29.93%,优秀,30.35%,优秀,27.57%,良好,100.0,95.0,65.0,75.0,75.0
005624,广发中债1-3年,胡光耀,广发,1.47亿元,80.0,64,78.0,77.2,3,3,4,5,1.42%,一般,1.81%,一般,4.69%,良好,8.06%,良好,10.37%,良好,17.27%,一般,70.0,70.0,80.0,95.0,75.0
004855,广发中证全指汽车,陆志明,广发,6.18亿元,72.0,96,85.0,82.19999999999999,3,3,2,5,5.72%,优秀,19.46%,良好,44.58%,优秀,33.05%,优秀,20.49%,优秀,115.13%,优秀,100.0,100.0,75.0,70.0,80.0
501308,银河中证沪港深高,卢轶乔,银河,0.01亿元,68.0,32,73.0,67.39999999999999,3,3,1,5,-4.46%,一般,6.94%,不佳,18.69%,一般,6.10%,优秀,-4.46%,优秀,3.40%,不佳,80.0,80.0,70.0,75.0,60.0
005562,创金合信中证红利,孙悦,创金合信,18.79亿元,72.0,46,81.0,74.8,3,3,2,5,-1.50%,良好,4.35%,不佳,17.33%,一般,24.25%,优秀,28.23%,优秀,95.34%,优秀,80.0,85.0,70.0,80.0,90.0
501305,汇添富港股红利E,董瑾,汇添富,3.86亿元,68.0,62,77.0,72.8,3,3,1,5,-4.13%,一般,7.40%,不佳,26.18%,优秀,21.41%,优秀,16.89%,优秀,10.73%,一般,85.0,85.0,65.0,70.0,80.0
005561,创金合信中证红利,孙悦,创金合信,15.23亿元,72.0,46,80.0,74.19999999999999,3,3,2,5,-1.45%,良好,4.46%,不佳,17.57%,一般,24.75%,优秀,29.00%,优秀,97.30%,优秀,80.0,85.0,70.0,80.0,85.0
511270,海富通上证10年,唐灵儿,海富通,14.66亿元,76.0,100,80.0,80.8,3,3,3,5,4.00%,优秀,4.94%,优秀,9.57%,优秀,14.87%,优秀,18.13%,优秀,28.40%,优秀,90.0,75.0,80.0,70.0,85.0
501057,汇添富中证新能源,过蓓蓓,汇添富,49.01亿元,68.0,42,77.0,70.8,3,2,2,5,-1.27%,良好,22.25%,良好,11.41%,不佳,-32.64%,不佳,-42.45%,不佳,44.38%,优秀,80.0,65.0,70.0,75.0,95.0
501058,汇添富中证新能源,过蓓蓓,汇添富,37.75亿元,72.0,42,76.0,71.4,3,3,2,5,-1.33%,良好,22.09%,良好,11.13%,不佳,-32.98%,不佳,-42.88%,不佳,42.59%,优秀,80.0,65.0,70.0,75.0,90.0
005623,广发中债1-3年,胡光耀,广发,132.06亿元,84.00000000000001,72,84.0,82.8,3,4,4,5,1.45%,一般,1.86%,一般,4.78%,良好,8.27%,良好,10.69%,良好,17.83%,良好,70.0,70.0,80.0,100.0,100.0
512040,富国中证价值ET,曹璐迪,富国,20.05亿元,76.0,82,84.0,81.4,3,3,3,5,-0.93%,良好,10.85%,一般,19.53%,良好,21.02%,优秀,9.89%,优秀,85.44%,优秀,80.0,80.0,80.0,90.0,90.0
159959,银华中证央企结构,周大鹏,银华,30.77亿元,80.0,54,82.0,78.6,3,3,4,5,-5.87%,不佳,3.48%,不佳,19.82%,良好,6.23%,优秀,0.99%,优秀,38.26%,优秀,75.0,80.0,80.0,85.0,90.0
501310,华宝沪港深价值指,周晶,华宝,0.67亿元,60.0,82,53.0,58.0,3,1,1,5,-3.56%,一般,9.70%,一般,32.11%,优秀,20.78%,优秀,16.02%,优秀,15.40%,良好,95.0,95.0,0.0,0.0,75.0
004789,富荣沪深300指,郎骋成,富荣,6.02亿元,76.0,30,76.0,71.4,3,3,3,5,-6.15%,不佳,8.53%,一般,16.53%,一般,-9.65%,一般,-15.60%,良好,69.94%,优秀,85.0,80.0,65.0,70.0,80.0
006633,博时中债1-3政,倪玉娟,博时,70.16亿元,84.00000000000001,64,84.0,82.0,3,4,4,5,1.55%,良好,2.05%,良好,4.96%,良好,7.81%,良好,10.09%,一般,16.50%,一般,75.0,70.0,85.0,100.0,90.0
006961,南方中债7-10,朱佳,南方,90.43亿元,68.0,100,81.0,79.0,3,1,3,5,5.19%,优秀,5.86%,优秀,11.64%,优秀,18.20%,优秀,21.29%,优秀,34.06%,优秀,65.0,75.0,80.0,90.0,95.0
006485,广发中债1-3年,郎振东,广发,5.38亿元,80.0,80,78.0,78.8,3,3,4,5,1.74%,良好,2.15%,良好,5.38%,良好,9.06%,良好,11.28%,良好,18.30%,良好,70.0,70.0,80.0,95.0,75.0
501307,银河中证沪港深高,卢轶乔,银河,0.18亿元,60.0,56,75.0,68.6,3,1,1,5,-4.40%,一般,7.09%,不佳,18.99%,良好,6.63%,优秀,-3.74%,优秀,4.70%,一般,80.0,80.0,70.0,75.0,70.0
006848,博时中债5-10,魏桢,博时,22.52亿元,76.0,100,78.0,79.6,3,2,4,5,5.25%,优秀,5.99%,优秀,11.59%,优秀,17.54%,优秀,20.16%,优秀,30.86%,优秀,65.0,75.0,80.0,90.0,80.0
006962,南方中债7-10,朱佳,南方,70.72亿元,76.0,100,80.0,80.8,3,3,3,5,5.15%,优秀,5.81%,优秀,11.53%,优秀,17.96%,优秀,20.94%,优秀,33.44%,优秀,65.0,75.0,80.0,90.0,90.0
512890,华泰柏瑞中证红利,柳军,华泰柏瑞,137.50亿元,72.0,70,85.0,79.6,3,2,3,5,-1.64%,良好,4.73%,不佳,19.21%,良好,27.66%,优秀,31.22%,优秀,86.16%,优秀,80.0,85.0,75.0,85.0,100.0
