代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
008779,嘉实中证500指数增强C,1.1489,1.1489,1.22%,1.22%,-2.83%,-0.42%,15.75%,11.62%,-13.32%,-19.54%,-0.61%,14.89%
014256,富国中证娱乐主题指数增强(LOF)C,0.6601,0.6601,2.12%,3%,-3.89%,1.93%,28.98%,11.56%,1.16%,-10.95%,-0.33%,-9.15%
110003,易方达上证50增强A,1.7979,3.7879,0.39%,0.13%,-3.82%,-5.82%,3.79%,11.49%,-6.7%,-14.12%,-2.88%,486.21%
009300,西部利得中证500指数增强(LOF)C,1.5223,1.5223,1.16%,1.28%,-3.57%,0.91%,20.2%,11.45%,-4.62%,-12.69%,-1.28%,63.58%
009439,西部利得国企红利指数增强C,1.8943,2.0903,0.57%,-0.28%,-3.29%,-1.16%,7.46%,11.44%,3.81%,12.92%,-3.82%,65.59%
019251,景顺长城MSCI中国A股国际通指数增强C,1.3458,1.3458,0.83%,0.82%,-3.15%,-2.55%,8.6%,11.44%,,,-1.92%,0.19%
012157,汇添富上证50基本面增强指数A,0.8489,0.8489,0.54%,-0.09%,-4.05%,-4.12%,-0.75%,11.37%,-7.6%,-15.1%,-3.62%,-15.11%
011854,招商中证消费龙头指数增强C,0.7568,0.7568,0.61%,-0.5%,-4.04%,-2.5%,13.38%,11.23%,-14.12%,-22.12%,-3.1%,-24.32%
004746,易方达上证50增强C,1.7626,1.9026,0.39%,0.13%,-3.84%,-5.88%,3.65%,11.22%,-7.16%,-14.76%,-2.89%,63.97%
012158,汇添富上证50基本面增强指数C,0.8381,0.8381,0.55%,-0.1%,-4.07%,-4.21%,-0.93%,10.95%,-8.35%,-16.17%,-3.64%,-16.19%
014587,华安中证500指数增强A,0.8541,0.8541,1.12%,1.14%,-3.25%,0.74%,16.62%,10.79%,-14.38%,,-1%,-14.59%
164508,国富中证A100指数增强(LOF),1.035,1.158,0.78%,0.39%,-3.36%,-3.54%,5.72%,10.7%,-13.1%,-23.16%,-2.45%,18.49%
005965,安信中证500指数增强A,1.7709,1.7709,0.96%,1.24%,-2.13%,-0.43%,15.37%,10.34%,-2.41%,-12%,0.07%,77.09%
016776,嘉实中证1000指数增强发起A,0.9435,0.9435,1.38%,1.74%,-2.14%,2.42%,19.96%,10.34%,-10.26%,,0.59%,-5.65%
014588,华安中证500指数增强C,0.8449,0.8449,1.13%,1.13%,-3.29%,0.64%,16.38%,10.33%,-15.07%,,-1.02%,-15.51%
015148,华安中证1000指数增强A,0.857,0.857,1.62%,1.34%,-2.94%,4.23%,26.07%,10.31%,-12.43%,,-0.17%,-14.3%
013878,圆信永丰中证500指数增强发起A,0.7837,0.7837,0.98%,0.71%,-4.87%,-2.46%,13.94%,10.13%,-10.74%,-19.6%,-2.4%,-21.63%
007178,浙商中华预期高股息A,1.0377,1.0377,0.22%,0.17%,0.04%,-3.19%,4.22%,10.12%,-11.71%,-22.04%,-1.43%,3.77%
016777,嘉实中证1000指数增强发起C,0.9385,0.9385,1.38%,1.73%,-2.15%,2.36%,19.81%,10.06%,-10.71%,,0.58%,-6.15%
519034,海富通中证500增强A,1.6464,1.6464,1.06%,0.48%,-3.94%,-0.29%,16.25%,9.94%,-9.64%,-23.31%,-2.06%,64.64%
005966,安信中证500指数增强C,1.7279,1.7279,0.95%,1.24%,-2.16%,-0.53%,15.14%,9.9%,-3.19%,-13.04%,0.04%,72.79%
015149,华安中证1000指数增强C,0.8484,0.8484,1.63%,1.33%,-2.96%,4.12%,25.82%,9.87%,-13.12%,,-0.2%,-15.16%
013879,圆信永丰中证500指数增强发起C,0.7763,0.7763,0.98%,0.69%,-4.9%,-2.55%,13.78%,9.8%,-11.28%,-20.33%,-2.43%,-22.37%
007216,浙商中华预期高股息C,1.0191,1.0191,0.23%,0.17%,0.01%,-3.27%,4.03%,9.73%,-12.34%,-22.85%,-1.46%,1.91%
009004,海富通中证500增强C,1.6266,1.6266,1.06%,0.48%,-3.96%,-0.36%,16.11%,9.67%,-10.09%,-23.88%,-2.08%,6.96%
019553,中银中证500指数增强型发起A,1.0974,1.0974,0.99%,1.01%,-2.84%,-0.22%,16.51%,9.53%,,,-0.82%,9.74%
002670,万家沪深300指数增强A,1.2295,1.3875,0.72%,0.69%,-3.05%,-1.79%,8.44%,9.36%,-13.85%,-17%,-1.9%,36.22%
180003,银华-道琼斯88指数,1.0628,3.3061,0.74%,1%,-2.12%,-1.67%,4.21%,9.31%,-14.83%,-29.37%,-0.83%,480.72%
013942,华宝中证稀有金属指数增强发起A,0.5692,0.5692,0.76%,-1.71%,-2.05%,3.08%,25.13%,9.29%,-31.86%,-37.46%,2.03%,-43.08%
167601,国金300指数增强A,0.9257,0.9257,0.42%,-0.23%,-4.52%,-2.22%,5.7%,9.2%,-9.81%,-18.01%,-3.28%,56.92%
019554,中银中证500指数增强型发起C,1.0927,1.0927,0.99%,1.01%,-2.87%,-0.32%,16.28%,9.1%,,,-0.84%,9.27%
013943,华宝中证稀有金属指数增强发起C,0.5639,0.5639,0.77%,-1.71%,-2.07%,3%,24.92%,8.97%,-32.27%,-38.02%,1.99%,-43.61%
002671,万家沪深300指数增强C,1.5239,1.7239,0.72%,0.68%,-3.08%,-1.88%,8.22%,8.93%,-14.53%,-17.98%,-1.92%,68.92%
012926,民生加银中证500指数增强A,0.7212,0.7212,1.09%,0.71%,-3.14%,0.97%,18.99%,8.89%,-15.99%,-23.29%,-1.39%,-27.88%
017925,国金300指数增强C,0.9191,0.9191,0.42%,-0.24%,-4.55%,-2.32%,5.49%,8.76%,,,-3.31%,-8.45%
012927,民生加银中证500指数增强C,0.7138,0.7138,1.1%,0.71%,-3.16%,0.89%,18.83%,8.58%,-16.5%,-23.97%,-1.41%,-28.62%
100032,富国中证红利指数增强A,1.008,3.174,0.8%,0.1%,-3.08%,-2.51%,2.54%,8.51%,11.39%,10.28%,-3.63%,342.76%
012498,汇添富中证500基本面增强指数A,0.7749,0.7749,0.92%,0.71%,-3.82%,-3.26%,9.79%,8.32%,-14.46%,-20.79%,-1.11%,-22.51%
008682,富国中证红利指数增强C,0.991,1.398,0.71%,0%,-3.22%,-2.65%,2.38%,8.08%,10.75%,9.31%,-3.79%,43.96%
200002,长城久泰沪深300指数A,1.6741,4.5341,0.61%,0.66%,-2.88%,-3.44%,8.19%,7.97%,-17.94%,-28.91%,-2.02%,339.27%
006912,长城久泰沪深300指数C,0.9057,1.8543,0.61%,0.66%,-2.89%,-3.53%,8.01%,7.63%,-18.44%,-29.57%,-2.03%,16.46%
012499,汇添富中证500基本面增强指数C,0.7544,0.7544,0.92%,0.69%,-3.9%,-3.46%,9.35%,7.45%,-15.83%,-22.67%,-1.17%,-24.56%
002906,南方中证500量化增强A,1.0055,1.0055,0.94%,0.66%,-2.62%,-1.85%,13.64%,6.74%,-13.99%,-26.17%,-1.41%,0.55%
001351,诺安中证500指数增强A,0.826,0.826,1.0%,0.58%,-4.23%,-2.89%,13%,6.33%,-15.75%,-23.62%,-1.57%,-17.4%
002907,南方中证500量化增强C,0.9785,0.9785,0.95%,0.65%,-2.66%,-1.94%,13.41%,6.24%,-14.69%,-27.03%,-1.44%,-2.15%
010355,诺安中证500指数增强C,0.8122,0.8122,1.01%,0.57%,-4.27%,-3%,12.77%,5.92%,-16.42%,-24.54%,-1.6%,-13.32%
501089,方正富邦消费红利指数增强(LOF),1.1155,1.1155,0.33%,-1.45%,-6.87%,-2.28%,9.71%,0.15%,-22.88%,-25.08%,-5.32%,11.55%
014237,东财新能源增强A,0.4745,0.4745,1.28%,-0.36%,-6.19%,-5.67%,13.44%,0.11%,-42.08%,-51.7%,-3.36%,-52.55%
014238,东财新能源增强C,0.4701,0.4701,1.27%,-0.36%,-6.22%,-5.73%,13.28%,-0.19%,-42.42%,-52.13%,-3.37%,-52.99%
012328,天弘中证新能源指数增强A,0.4834,0.4834,1.21%,-0.51%,-6.17%,-6.91%,10.64%,-0.41%,-43%,,-3.05%,-51.66%
012329,天弘中证新能源指数增强C,0.4798,0.4798,1.22%,-0.5%,-6.2%,-6.96%,10.5%,-0.68%,-43.33%,,-3.07%,-52.02%
001027,前海开源中证大农业指数增强A,0.8892,0.8892,0.57%,-1.15%,-6.45%,-5.39%,3.7%,-1.36%,-28.44%,-33.69%,-4.6%,-11.08%
015484,前海开源中证大农业指数增强C,0.8793,0.8793,0.57%,-1.15%,-6.48%,-5.49%,3.48%,-1.75%,-29.01%,,-4.63%,-28.27%
161035,富国中证医药主题指数增强A,1.029,1.218,0.49%,0.88%,-4.72%,-6.54%,5.11%,-6.03%,-27.26%,-32.52%,-2.56%,18.56%
005626,富国中证医药主题指数增强C,1.022,1.211,0.49%,0.99%,-4.66%,-6.5%,5.04%,-6.24%,-27.49%,-32.86%,-2.48%,-42.86%
012340,东财食品饮料指数增强A,0.594,0.594,-0.08%,-1.59%,-6.34%,-8.8%,1.63%,-6.52%,-34.7%,-36.75%,-5.37%,-40.6%
012341,东财食品饮料指数增强C,0.5883,0.5883,-0.08%,-1.59%,-6.37%,-8.86%,1.48%,-6.8%,-35.09%,-37.32%,-5.39%,-41.17%
005112,银华中证全指医药卫生,1.1528,1.1528,0.14%,0.12%,-5.24%,-5.13%,3.52%,-8.39%,-29.18%,-34.88%,-3.39%,15.28%
012401,天弘中证医药主题指数增强A,0.6293,0.6293,0.43%,0.64%,-5.98%,-8.31%,2.33%,-9.17%,-29.51%,-31.22%,-3.38%,-37.07%
012402,天弘中证医药主题指数增强C,0.6229,0.6229,0.44%,0.65%,-6.01%,-8.37%,2.18%,-9.44%,-29.94%,-31.84%,-3.4%,-37.71%
013816,汇添富中证光伏产业指数增强发起式A,0.4429,0.4429,1.98%,-1.73%,-7.65%,-13.19%,5.63%,-12.64%,-48.8%,-45.65%,-3.76%,-55.71%
013817,汇添富中证光伏产业指数增强发起式C,0.4393,0.4393,1.97%,-1.74%,-7.67%,-13.25%,5.5%,-12.87%,-49.07%,-46.06%,-3.79%,-56.07%
019814,民生加银国证2000指数增强A,1.198,1.198,1.51%,1.98%,-1.33%,8.73%,36.28%,,,,0.87%,19.8%
019402,财通资管中证1000指数增强A,1.1063,1.1063,1.4%,1.42%,-3.24%,4.62%,26.81%,,,,-0.92%,10.63%
019403,财通资管中证1000指数增强C,1.1026,1.1026,1.4%,1.42%,-3.27%,4.51%,26.58%,,,,-0.95%,10.26%
020735,东财有色增强E,1.2213,1.2213,0.91%,-0.7%,2.13%,-3.47%,9.56%,,,,5.06%,14.97%
019767,景顺长城科创50指数增强A,1.3302,1.3302,0.99%,0.95%,-3.69%,3.28%,37.82%,,,,-0.78%,33.02%
019815,民生加银国证2000指数增强C,1.1942,1.1942,1.51%,1.98%,-1.35%,8.65%,36.08%,,,,0.84%,19.42%
021385,天弘上证科创板100指数增强发起A,1.1089,1.1089,1.98%,2.01%,-0.98%,4.04%,28.06%,,,,2.58%,10.89%
021386,天弘上证科创板100指数增强发起C,1.1066,1.1066,1.97%,2%,-1.01%,3.96%,27.87%,,,,2.56%,10.66%
019768,景顺长城科创50指数增强C,1.328,1.328,1.0%,0.95%,-3.71%,3.21%,37.65%,,,,-0.79%,32.8%
021278,永赢上证科创板100指数增强发起A,1.1769,1.1769,2.14%,3.66%,1.54%,4.73%,28.48%,,,,5.56%,17.69%
021279,永赢上证科创板100指数增强发起C,1.1737,1.1737,2.14%,3.66%,1.5%,4.63%,28.22%,,,,5.53%,17.37%
020987,东财高端制造增强E,0.8628,0.8628,1.43%,1.81%,-2.18%,-0.12%,19.83%,,,,-0.54%,14.01%
021256,浦银安盛中证A50指数增强A,1.1019,1.1019,0.88%,0.45%,-3.74%,-3.23%,11.82%,,,,-2.84%,10.19%
021810,富国创业板增强策略ETF发起式联接C,1.2219,1.2219,1.29%,1.37%,-3.76%,-1.65%,22.08%,,,,-0.93%,22.19%
021847,国泰沪深300增强策略ETF发起联接A,0.9907,0.9907,0.74%,0.68%,-3.1%,-2.08%,,,,,-2.35%,-0.93%
021051,国联中证500指数增强A,1.1502,1.1502,1.02%,0.84%,-3.68%,-0.3%,,,,,-1.3%,15.02%
021052,国联中证500指数增强C,1.1478,1.1478,1.01%,0.83%,-3.71%,-0.42%,,,,,-1.33%,14.78%
021811,富国创业板增强策略ETF发起式联接A,1.2232,1.2232,1.3%,1.38%,-3.75%,-1.59%,22.21%,,,,-0.91%,22.32%
021175,东方红中证500指数增强发起A,1.1214,1.1214,0.85%,0.46%,-3.4%,-2.77%,12.18%,,,,-1.35%,12.14%
021176,东方红中证500指数增强发起C,1.1189,1.1189,0.84%,0.45%,-3.43%,-2.86%,11.95%,,,,-1.38%,11.89%
021257,浦银安盛中证A50指数增强C,1.0991,1.0991,0.88%,0.44%,-3.77%,-3.32%,11.61%,,,,-2.85%,9.91%
021908,鹏华上证科创板50成份增强策略ETF发起式联接A,1.402,1.402,1.23%,1.79%,-1.79%,5.26%,,,,,0.37%,40.2%
021909,鹏华上证科创板50成份增强策略ETF发起式联接C,1.4006,1.4006,1.22%,1.77%,-1.82%,5.18%,,,,,0.34%,40.06%
022462,华商中证A500指数增强C,0.959,0.959,1.09%,1.16%,-1.63%,,,,,,-1.4%,-4.1%
021185,中信保诚中证500指数增强A,1.2352,1.2352,1.07%,1.27%,-1.55%,5.02%,23.69%,,,,0.5%,23.52%
021284,浦银安盛科创板100指数增强A,0.947,0.947,2.2%,2.47%,-1.51%,-5.35%,,,,,2.44%,-5.3%
022177,东财消费电子指数增强E,0.8776,0.8776,2.11%,4.56%,4.02%,9.52%,,,,,5.86%,38.07%
021757,中欧沪深300指数量化增强A,0.971,0.971,0.88%,0.86%,-2.89%,,,,,,-1.94%,-2.9%
021758,中欧沪深300指数量化增强C,0.9704,0.9704,0.88%,0.85%,-2.93%,,,,,,-1.97%,-2.96%
021186,中信保诚中证500指数增强C,1.2323,1.2323,1.07%,1.26%,-1.59%,4.91%,23.44%,,,,0.48%,23.23%
022486,国金中证A500指数增强C,0.9743,0.9743,0.68%,0.03%,-3.05%,,,,,,-2.43%,-2.57%
021848,国泰沪深300增强策略ETF发起联接C,0.99,0.99,0.74%,0.68%,-3.11%,-2.13%,,,,,-2.36%,-1%
021170,大成中证500指数增强A,1.1305,1.1305,1.18%,0.63%,-3.35%,-0.23%,13.05%,,,,-1.43%,13.05%
021171,大成中证500指数增强C,1.1281,1.1281,1.17%,0.62%,-3.39%,-0.34%,12.81%,,,,-1.46%,12.81%
022205,永赢中证A50指数增强发起C,0.9767,0.9767,0.71%,0.12%,-2.28%,,,,,,-1.86%,-2.33%
021275,万家上证科创板100指数增强发起式A,0.9414,0.9414,2.17%,1.82%,-3.2%,-3.09%,,,,,0.6%,-5.86%
021276,万家上证科创板100指数增强发起式C,0.9402,0.9402,2.17%,1.81%,-3.23%,-3.19%,,,,,0.58%,-5.98%
022204,永赢中证A50指数增强发起A,0.9771,0.9771,0.71%,0.12%,-2.24%,,,,,,-1.84%,-2.29%
022559,天弘中证高端装备制造指数增强E,0.8465,0.8465,1.37%,2.23%,-1.09%,,,,,,0.44%,-3.48%
022473,兴证全球中证A500指数增强A,0.9674,0.9674,0.93%,0.55%,-3.26%,,,,,,-1.89%,-3.26%
022908,国投瑞银沪深300指数量化增强Y,1.2393,1.2393,0.76%,0.76%,-2.77%,,,,,,-1.88%,-1.44%
022957,华夏中证500指数增强Y,1.8022,1.8022,1.03%,0.22%,-4.25%,,,,,,-2.35%,-5.57%
022513,人保中证800指数增强A,1.0204,1.0204,0.94%,0.62%,2.04%,,,,,,2.03%,2.04%
022917,万家沪深300指数增强Y,1.2303,1.2303,0.72%,0.7%,-3%,,,,,,-1.87%,-1.91%
022953,富国中证500指数增强(LOF)Y,1.922,1.922,1.16%,0.79%,-3.27%,,,,,,-1.54%,-3.56%
022688,申万菱信中证A500指数增强A,0.9934,0.9934,0.64%,0.28%,-0.66%,,,,,,-0.48%,-0.66%
022671,招商中证A500指数增强发起式C,1.0052,1.0052,0.88%,0.68%,0.52%,,,,,,0.7%,0.52%
022919,申万菱信中证500指数优选增强Y,1.7326,1.7326,0.91%,1.04%,-0.35%,,,,,,1.1%,0.78%
022937,西部利得中证500指数增强(LOF)Y,1.5524,1.5524,1.17%,1.29%,-3.49%,,,,,,-1.21%,-4.2%
022954,华夏沪深300指数增强Y,1.815,1.815,0.83%,1%,-2.37%,,,,,,-1.36%,-0.49%
022943,华夏中证500指数智选增强Y,1.0003,1.0003,1.02%,0.24%,-4.21%,,,,,,-2.33%,-5.55%
022940,天弘沪深300指数增强发起Y,1.2058,1.2058,0.77%,0.53%,-3.28%,,,,,,-2.29%,-2.01%
022090,富安达沪深300指数增强A,0.9728,0.9728,0.71%,0.37%,-2.71%,,,,,,-2.16%,-2.72%
022137,中银MSCI中国A50互联互通指数增强E,1.1658,1.1658,0.56%,0.78%,-3.49%,,,,,,-2.58%,1.28%
022366,贝莱德沪深300指数增强A,1.0194,1.0194,0.81%,0.89%,-0.99%,,,,,,-1.44%,1.94%
022963,兴全中证800六个月持有指数Y,1.0455,1.0455,1.02%,0.87%,-3.59%,,,,,,-2.55%,-3.89%
022906,富国沪深300指数增强Y,1.538,1.538,0.85%,0.59%,-2.9%,,,,,,-2.16%,-1.85%
022309,国联沪深300指数增强A,1.0077,1.0077,0.69%,0.57%,0.73%,,,,,,0.7%,0.77%
022091,富安达沪深300指数增强C,0.9723,0.9723,0.7%,0.36%,-2.74%,,,,,,-2.18%,-2.77%
022468,国泰君安中证A500指数增强C,0.9979,0.9979,0.97%,1.11%,-0.2%,,,,,,0.48%,-0.21%
022558,天弘中证医药主题指数增强E,0.6289,0.6289,0.43%,0.64%,-6.01%,,,,,,-3.39%,-11.45%
021285,浦银安盛科创板100指数增强C,0.9458,0.9458,2.22%,2.46%,-1.54%,-5.45%,,,,,2.43%,-5.42%
022467,国泰君安中证A500指数增强A,0.9983,0.9983,0.97%,1.12%,-0.16%,,,,,,0.5%,-0.17%
022567,天弘中证500指数增强E,1.1591,1.1591,1.13%,1.29%,-3.27%,,,,,,-0.71%,-8.28%
022670,招商中证A500指数增强发起式A,1.0055,1.0055,0.88%,0.7%,0.55%,,,,,,0.72%,0.55%
022914,易方达沪深300精选增强Y,0.7808,0.7808,0.45%,2.15%,-1.21%,,,,,,-0.47%,1.93%
022310,国联沪深300指数增强C,1.007,1.007,0.69%,0.56%,0.69%,,,,,,0.67%,0.7%
022949,汇添富沪深300指数增强Y,1.3315,1.3315,0.78%,0.89%,-2.65%,,,,,,-1.84%,-1.18%
022909,国投瑞银中证500指数量化增强Y,2.0329,2.0329,1.1%,1.04%,-2.31%,,,,,,-0.46%,-2.73%
021765,长盛北证50成份指数增强A,0.9419,0.9419,0.35%,-1.94%,-2.9%,,,,,,1.76%,-5.81%
022946,建信中证500指数增强Y,2.569,2.569,1.01%,0.99%,-2.09%,,,,,,-0.4%,-2.49%
022893,汇添富中证500指数增强Y,1.5978,1.5978,1.04%,0.9%,-3.25%,,,,,,-1.63%,-3.57%
022903,富国中证红利指数增强Y,1.009,1.009,0.7%,0.1%,-3.07%,,,,,,-3.63%,-2.51%
022962,兴全沪深300指数增强(LOF)Y,2.3583,2.3583,0.89%,0.83%,-3.91%,,,,,,-3.16%,-2.79%
022933,易方达上证50增强Y,1.7997,1.8397,0.4%,0.15%,-3.76%,,,,,,-2.83%,-1.89%
022685,中银中证1000指数增强E,1.19,1.19,1.39%,1.31%,-1.96%,,,,,,0.22%,2.79%
022706,银河中证A500指数增强A,1.0126,1.0126,0.74%,0.49%,,,,,,,1.26%,1.26%
022178,东财食品饮料指数增强E,0.5875,0.5875,-0.09%,-1.59%,-6.37%,-9.81%,,,,,-5.39%,-8.73%
021766,长盛北证50成份指数增强C,0.9412,0.9412,0.35%,-1.94%,-2.92%,,,,,,1.73%,-5.88%
022461,华商中证A500指数增强A,0.9599,0.9599,1.1%,1.17%,-1.59%,,,,,,-1.38%,-4.01%
022485,国金中证A500指数增强A,0.975,0.975,0.68%,0.04%,-3%,,,,,,-2.41%,-2.5%
022367,贝莱德沪深300指数增强C,1.0187,1.0187,0.8%,0.88%,-1.03%,,,,,,-1.47%,1.87%
022474,兴证全球中证A500指数增强C,0.9671,0.9671,0.93%,0.55%,-3.29%,,,,,,-1.92%,-3.29%
022544,天弘中证科技100指数增强发起E,1.1276,1.1276,1.66%,2.59%,-0.43%,,,,,,1.78%,-0.86%
022707,银河中证A500指数增强C,1.0125,1.0125,0.75%,0.49%,,,,,,,1.25%,1.25%
022514,人保中证800指数增强C,1.02,1.02,0.94%,0.62%,2%,,,,,,1.99%,2%
022689,申万菱信中证A500指数增强C,0.993,0.993,0.64%,0.27%,-0.7%,,,,,,-0.5%,-0.7%
